,label,PCA_feature_3,PCA_feature_11,PCA_feature_13,PCA_feature_14,PCA_feature_24,PCA_feature_29,PCA_feature_33,PCA_feature_53,PCA_feature_60,PCA_feature_127,PCA_feature_129,PCA_feature_142,PCA_feature_160,PCA_feature_162,PCA_feature_167
11,0.0,-0.4337000168558884,0.8543908231024047,-0.08707920469026192,1.0268139623689772,-0.6248499317781904,0.3428545943308807,0.9560418030184177,0.20217562162260158,-0.05525325017848019,2.0122792321330962e-16,-6.609296443471635e-16,-2.8102520310824275e-16,2.0469737016526324e-16,-8.326672684688674e-17,-1.249000902703301e-16
11,1.0,-0.9861853047151922,1.0858857468544083,-0.17753575970915,-0.8499595899665797,-0.18838077617577537,-0.221644153918705,0.06908746546047494,-0.031317123290006375,-0.29492404693590024,6.054184931159057e-16,-3.0184188481996443e-16,-1.734723475976807e-17,2.688821387764051e-17,2.5500435096859064e-16,0.0
12,1.0,0.8363915760942415,-0.9610719305291339,0.20429489383339816,-0.6211758825707134,-0.1781375003614288,-0.37721719414207466,-0.22083195376155162,0.10686480273579575,-0.08359749597205579,1.9255430583342559e-16,4.614364446098307e-16,-9.540979117872439e-17,3.2959746043559335e-17,-2.7755575615628914e-17,4.9439619065339e-17
12,0.0,-1.6876126528640252,0.26867696284655174,1.1190842077916905,0.900361876004537,0.2337253611203783,0.210571928686135,-0.0012861334909965295,-0.12513068737338395,0.08948416240349592,1.5612511283791264e-16,-5.603156827405087e-16,6.591949208711867e-17,1.1102230246251565e-16,-1.4051260155412137e-16,0.0
13,0.0,0.20311133387521232,0.4121239507572843,0.24112749508778972,-0.25777657185905906,0.6873788233545326,-0.18168689105204358,-0.046857316319023616,0.04844377285510801,0.18071027176352936,-4.163336342344337e-17,1.8735013540549517e-16,-3.8163916471489756e-16,4.996003610813204e-16,-6.487865800153259e-16,1.3530843112619095e-16
13,1.0,1.109104749703364,1.21386435559954,-0.725433380854183,-0.3850851939140194,0.3190188181954629,0.05346285496214896,0.18166850763729112,-0.3148623331902024,-0.2795464126624687,5.499073418846478e-16,-4.839878497975292e-16,-3.0531133177191805e-16,-5.2909066017292616e-17,5.204170427930421e-16,-4.163336342344337e-17
14,0.0,1.1954365890073362,0.43301682231288147,2.6569049491442582,-0.979514885064475,0.057418069971359585,0.15358124199441098,-0.4488867385433262,0.4057716744119314,-0.11363804466481794,2.42861286636753e-16,-3.434752482434078e-16,-4.926614671774132e-16,-2.185751579730777e-16,-5.754945131553058e-16,4.683753385137379e-16
14,1.0,2.1354194637571147,-0.1380254883382072,-0.8243121783024561,-0.9968536690031522,-0.4102065496747904,-0.6221361719274702,0.0074793790829945465,0.06531602255718534,0.16588744483898354,3.2959746043559335e-16,1.7433970933566911e-16,-3.469446951953614e-18,5.551115123125783e-17,-1.3530843112619095e-16,1.700029006457271e-16
15,0.0,-3.9623273601215776,-0.13769404107272837,0.3803172158006715,0.9767938579071034,-0.8431721549913925,-0.5880288346917719,0.33909278915067537,0.18070991474431242,-0.34646731472443243,-4.371503159461554e-16,-1.0200174038743626e-15,-5.898059818321144e-17,-5.551115123125783e-17,-5.462210544981971e-16,-9.367506770274758e-17
15,1.0,2.9888596688300275,-0.11587704823165755,-0.5679947607257416,-0.5712868521948838,0.23458569200328816,-0.11130649308655104,-0.02355326252167176,0.006608079551147769,-0.00040038662088829474,5.967448757360216e-16,5.620504062164855e-16,9.020562075079397e-17,1.942890293094024e-16,-2.7582103268031233e-16,1.3877787807814457e-16
17,1.0,1.4220990404645693,-0.3659010173484959,0.49053239800058324,-0.6538688846509129,-0.015642989012798758,0.0012006991391504199,-0.04605552694265207,-0.06717290580361741,-0.013544570452539303,4.926614671774132e-16,-4.787836793695988e-16,-7.632783294297951e-17,-4.163336342344337e-17,6.938893903907228e-18,-1.1796119636642288e-16
17,0.0,0.3296911440054615,0.7769372101251589,-0.012307035621870167,0.25165016003272306,0.1846877842852293,0.21095261270502147,0.6457964682026774,0.23338735457793677,-0.10345006159467487,8.951173136040325e-16,-7.875644580934704e-16,-1.8388068845354155e-16,-1.942890293094024e-16,3.7383290907300193e-16,2.185751579730777e-16
