,label,PCA_feature_11,PCA_feature_3,PCA_feature_28,PCA_feature_124
31,1.0,1.2035970457346394,4.8811716283407405,-0.10859899793010346,0.0006432574284051668
31,0.0,0.9864460241787943,-2.3013498796807594,-0.12744655950715694,0.003980074054515864
31,1.0,1.2035970457346394,4.8811716283407405,-0.10859899793010346,0.0006432574284051668
32,1.0,-0.4817993385783063,0.5920672688582356,0.11734296331483257,-0.05654982399129677
32,1.0,-0.4817993385783063,0.5920672688582356,0.11734296331483257,-0.05654982399129677
32,0.0,0.977762746127883,2.0522043489551107,-0.7073541225052589,-0.04063029588270302
33,0.0,0.8563640335104192,-3.9336006862494535,-0.4517514061341133,-0.027003172156769034
34,1.0,0.10854255020207393,-0.5244662103463618,-0.22941140941131827,-0.03428888683349455
34,1.0,0.10854255020207393,-0.5244662103463618,-0.22941140941131827,-0.03428888683349455
35,1.0,-1.2329361250853101,1.1771832690969786,0.7771444014488419,0.0414222540821845
35,0.0,0.2373475925666446,-2.12405220440261,0.5005116677989438,-0.010950527775393973
36,1.0,-0.561463416287631,0.2963586242234454,0.37662110759453626,0.0309209978108363
36,1.0,-0.561463416287631,0.2963586242234454,0.37662110759453626,0.0309209978108363
36,1.0,-0.561463416287631,0.2963586242234454,0.37662110759453626,0.0309209978108363
36,0.0,-0.5721438603713098,-2.226744201560343,0.019361078662554265,-0.01541206647004623
37,0.0,0.5391237389245747,-5.869274237288751,0.3539514593449156,-0.0063707786840182384
37,1.0,-1.7980630223482523,3.134133843174123,-0.3375216206596222,-0.0008746181230012556
37,1.0,-1.7980630223482523,3.134133843174123,-0.3375216206596222,-0.0008746181230012556
37,1.0,-1.7980630223482523,3.134133843174123,-0.3375216206596222,-0.0008746181230012556
37,1.0,-1.7980630223482523,3.134133843174123,-0.3375216206596222,-0.0008746181230012556
37,1.0,-1.7980630223482523,3.134133843174123,-0.3375216206596222,-0.0008746181230012556
38,0.0,0.1948056141702222,-4.770297072198677,0.13698700153913385,0.02502437993644621
39,0.0,-0.06752057403718362,-3.3793720118218773,-0.0696922708800491,0.016939609857014305
39,1.0,-1.2923798579082157,1.3494934852343017,0.025283819216626136,0.02494428094395279
39,1.0,-1.2923798579082157,1.3494934852343021,0.025283819216626136,0.02494428094395277
40,0.0,-0.04723428722681401,-4.189767549731806,-0.3523624497909519,0.02196422367687646
40,1.0,-1.0513872414457086,0.41070330660141535,0.3117993554179679,-0.030199539239396167
