,label,PCA_feature_11,PCA_feature_3,PCA_feature_28,PCA_feature_124,PCA_feature_122,PCA_feature_15,PCA_feature_134,PCA_feature_89
9,0.0,-1.4516118148820858,-1.6316498253189669,0.007499385269987759,-0.004003481565631815,0.008959891003241557,-0.7274739375379221,4.2934406030425976e-16,-0.03449556542064389
10,1.0,-0.9023831507521609,1.9909145503468872,-0.21777834320376044,0.007158653470900181,0.011449285109673163,-0.47421125243445683,4.40619762898109e-16,-0.017420908601046243
11,1.0,1.0858857468544083,-0.9861853047151922,0.12965732102391053,0.01322688762427826,-0.011181432055666145,-0.15281568708817983,1.1449174941446927e-16,0.0010854252056350404
11,0.0,0.8543908231024047,-0.4337000168558884,-0.9188862005263606,-0.000845575609678989,0.0052086320623829264,0.1642716874057548,6.891189008317866e-16,-0.014473787121745104
11,1.0,1.0858857468544083,-0.9861853047151922,0.12965732102391053,0.01322688762427826,-0.011181432055666145,-0.15281568708817983,1.1449174941446927e-16,0.0010854252056350404
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15,0.010940270161885281
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15,0.010940270161885281
12,0.0,0.26867696284655174,-1.6876126528640252,0.27129479315258725,-0.015893760854893045,-0.012979483072688976,-0.10792787241308749,4.77048955893622e-16,0.08779636284692231
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15,0.010940270161885281
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15,0.010940270161885281
13,1.0,1.21386435559954,1.109104749703364,-0.6179209989346365,0.029535759380915516,0.00676479850155254,-0.4342976915745604,6.192962809237201e-16,0.07009671482408615
13,0.0,0.4121239507572843,0.20311133387521232,-0.42012319878472887,-0.003536194907208398,-0.0014077387206777453,0.7132616418695038,-3.7816971776294395e-16,-0.06938669621355646
14,1.0,-0.13802548833820713,2.1354194637571142,0.19766653111641092,0.005247211738739682,0.04021162129708885,-1.8614808521556228,3.9898639947466563e-16,0.03521484353778952
14,0.0,0.43301682231288136,1.1954365890073364,0.09239756017708545,0.002192974527279609,-0.004653495424992299,1.9658581694219175,1.2923689896027213e-15,-0.0028230005143380296
15,1.0,-0.11587704823165752,2.988859668830028,0.1205566024485086,0.002647505974980424,-0.017093181349171226,-0.8898288257202748,1.708702623837155e-16,-0.036081524351351195
15,1.0,-0.11587704823165755,2.9888596688300275,0.1205566024485086,0.002647505974980327,-0.017093181349171246,-0.8898288257202743,1.6566609195578508e-16,-0.036081524351351285
