,label,PCA_feature_2,PCA_feature_129,PCA_feature_167
28,0.0,1.7405027972976859,-1.0842021724855044e-17,-4.85722573273506e-17
28,1.0,-1.5002218144058395,-9.627715291671279e-17,-1.734723475976807e-18
29,1.0,-1.272071910450281,1.8388068845354155e-16,1.5092094240998222e-16
29,0.0,2.6912112714676826,-1.691355389077387e-16,-9.020562075079397e-17
30,0.0,4.986247117638655,-2.5717275531356165e-16,-1.3183898417423734e-16
31,1.0,-2.2312171553231526,-8.326672684688674e-17,-2.0816681711721685e-17
32,1.0,-0.40033203338814,-2.42861286636753e-16,1.214306433183765e-16
33,1.0,-1.0277134168732185,-6.938893903907228e-17,4.163336342344337e-17
34,1.0,-1.259084218854822,1.8041124150158794e-16,6.591949208711867e-17
34,0.0,0.14726146710922872,2.5153490401663703e-16,-5.551115123125783e-17
35,0.0,2.212644810155958,-1.8604909279851256e-16,-3.0531133177191805e-16
35,1.0,-1.5027777396860669,1.1275702593849246e-16,1.4224732503009818e-16
36,0.0,2.9558431101196243,-8.326672684688674e-17,3.469446951953614e-18
37,1.0,-2.8832277388949046,-1.2988742026376343e-16,1.4094628242311558e-16
37,0.0,6.262325089412414,-2.96637714392034e-16,-4.40619762898109e-16
38,1.0,-1.9816924034325767,1.6653345369377348e-16,9.172350379227368e-17
39,1.0,-2.177634674214134,-5.204170427930421e-17,8.500145032286355e-17
39,0.0,1.7933858453326166,1.5959455978986625e-16,-1.0842021724855044e-16
40,1.0,-1.1843300907655991,1.8041124150158794e-16,1.4354836763708079e-16
41,0.0,2.2443121842992992,2.896988204881268e-16,-1.8388068845354155e-16
41,1.0,-3.483746415411051,2.220446049250313e-16,1.1622647289044608e-16
42,1.0,-1.9702804898270734,8.673617379884035e-17,1.9081958235744878e-17
42,0.0,-1.5640062397704075,1.968911145233676e-16,-1.9081958235744878e-17
43,1.0,-6.225380006629856,5.238864897449957e-16,2.185751579730777e-16
43,0.0,1.3494498088536302,6.765421556309548e-17,4.85722573273506e-17
45,1.0,-3.3578885410885815,1.222980050563649e-16,1.6653345369377348e-16
46,0.0,0.2642891753166408,-3.217912047936977e-16,-9.020562075079397e-17
47,0.0,-0.07305731801507634,-3.3480163086352377e-16,-1.3877787807814457e-17
49,0.0,-1.821674938137098,1.496198998029996e-16,2.706168622523819e-16
50,0.0,2.686272932720585,-3.469446951953614e-17,-1.5612511283791264e-16
50,1.0,-1.702020934487786,2.7755575615628914e-17,7.806255641895632e-17
51,1.0,-2.3294036788167016,1.43982048506075e-16,-9.71445146547012e-17
51,0.0,1.852352475012905,4.5102810375396984e-17,-4.718447854656915e-16
52,0.0,2.750652685765736,-2.0816681711721685e-16,9.71445146547012e-17
53,1.0,2.8305446353357153,2.5396351688300456e-15,-2.220446049250313e-16
53,0.0,4.8395650327211515,-3.365363543395006e-16,-5.065392549852277e-16
54,1.0,-1.367942657756898,2.393918396847994e-16,2.931682674400804e-16
54,0.0,0.05025355877830036,1.0408340855860843e-16,0.0
55,0.0,1.2067560679883753,2.3592239273284576e-16,4.5211230592645535e-17
55,1.0,-1.4251880112619286,1.1449174941446927e-16,-1.1709383462843448e-17
56,1.0,-0.5333068259179556,6.938893903907228e-17,1.8041124150158794e-16
56,0.0,0.9432962640416885,-2.3245294578089215e-16,-3.2612801348363973e-16
57,1.0,-1.1362373084454664,2.0296264668928643e-16,6.938893903907228e-17
58,0.0,-2.5742343303710973,3.400058012914542e-16,2.220446049250313e-16
59,1.0,-0.03877152474212875,3.122502256758253e-17,-1.3877787807814457e-17
61,0.0,-2.63859981981986,-3.3133218391157016e-16,3.174543961037557e-16
62,0.0,0.1238788268694864,7.28583859910259e-17,-6.938893903907228e-18
62,1.0,-1.0776424832372444,2.7755575615628914e-16,1.4224732503009818e-16
63,0.0,3.4920425313748735,4.683753385137379e-17,2.168404344971009e-18
65,0.0,3.5238927747165305,-3.0878077872387166e-16,-1.4224732503009818e-16
67,0.0,-0.81373061828108,-1.0061396160665481e-16,-1.3183898417423734e-16
68,0.0,0.8115247970217432,1.5612511283791264e-17,3.0531133177191805e-16
74,0.0,0.1287594270435832,9.627715291671279e-17,6.938893903907228e-18
76,0.0,4.636161005813525,-2.914335439641036e-16,-1.249000902703301e-16
77,0.0,5.3626615663765245,-2.1163626406917047e-16,-2.706168622523819e-16
78,0.0,2.0631694550488464,-3.0531133177191805e-16,4.5102810375396984e-17
