,label,PCA_feature_2,PCA_feature_3,PCA_feature_131,PCA_feature_135,PCA_feature_137,PCA_feature_162
21,0.0,-2.0212811561652995,-20.241511508770518,2.2165429214293653e-15,-3.039235529911366e-15,-2.0261570199409107e-15,2.2620794126737565e-15
22,1.0,-6.920048039073335,5.583871872200099,-1.0772632785815972e-15,3.3029134982598407e-15,-2.498001805406602e-16,-1.3227266504323154e-17
22,0.0,38.77228298568942,20.104399981860666,3.1051550219984847e-15,-1.734723475976807e-16,-2.2690183065776637e-15,3.0600522116230877e-15
22,1.0,-6.920048039073335,5.583871872200099,-1.0772632785815972e-15,3.3029134982598407e-15,-2.498001805406602e-16,-1.3227266504323154e-17
23,0.0,-9.38704529755161,-3.7375628775407925,5.950101522600448e-16,2.2898349882893854e-16,-4.85722573273506e-17,-7.632783294297951e-17
24,0.0,13.35050846542612,-17.846499278551256,1.0755285551056204e-15,-2.914335439641036e-16,-4.274358644806853e-15,2.480654570646834e-15
25,1.0,3.5133242355046117,24.361165098354093,-4.85722573273506e-17,9.71445146547012e-17,-2.3626933742804113e-15,-2.3592239273284576e-16
25,1.0,3.513324235504613,24.361165098354093,-5.551115123125783e-16,-3.608224830031759e-16,-1.9845236565174673e-15,1.3877787807814457e-16
26,0.0,64.97044058738595,-11.41705313198809,7.452372052796363e-15,3.7470027081099033e-16,-2.733924198139448e-15,-2.1163626406917047e-16
27,1.0,-18.680205693427027,-9.851215768784234,1.932481952238163e-15,-4.163336342344337e-17,4.579669976578771e-16,6.036837696399289e-16
27,1.0,-18.680205693427027,-9.851215768784234,1.932481952238163e-15,-4.163336342344337e-17,4.579669976578771e-16,6.036837696399289e-16
28,0.0,-0.9944675376213288,-8.591042365471553,6.158268339717665e-16,-2.914335439641036e-15,4.163336342344337e-16,7.216449660063518e-16
28,1.0,-12.044361149398775,-8.289956994820555,1.955927824218162e-15,1.249000902703301e-16,1.3600232051658168e-15,6.422813669804128e-16
28,1.0,-12.044361149398775,-8.289956994820555,1.955927824218162e-15,1.249000902703301e-16,1.3600232051658168e-15,6.422813669804128e-16
29,0.0,-3.3991723884017873,-20.346723312545375,-9.43689570931383e-16,-6.938893903907228e-17,8.326672684688674e-17,5.620504062164855e-16
30,0.0,15.785779231303433,-17.730683639803377,1.994931997373328e-15,-2.789435349370706e-15,-5.35682609381638e-15,2.501471252358556e-15
31,1.0,0.903561558482666,28.400592042314344,1.4085954624931674e-15,1.0581813203458523e-15,1.0824674490095276e-15,-3.4139358007223564e-15
31,1.0,0.903561558482666,28.400592042314344,1.4085954624931674e-15,1.0581813203458523e-15,1.0824674490095276e-15,-3.4139358007223564e-15
31,1.0,0.9035615584826671,28.400592042314344,1.096345236817342e-15,1.1726730697603216e-15,1.3600232051658168e-15,-2.9073965457371287e-15
31,0.0,3.9251032763802156,-11.600185746176145,5.689893001203927e-16,1.8041124150158794e-16,-2.5951463200613034e-15,4.996003610813204e-16
31,1.0,0.9035615584826671,28.400592042314344,1.096345236817342e-15,1.1726730697603216e-15,1.3600232051658168e-15,-2.9073965457371287e-15
