,label,PCA_feature_88,PCA_feature_11,PCA_feature_17,PCA_feature_137,PCA_feature_37,PCA_feature_3,PCA_feature_167,PCA_feature_130,PCA_feature_15,PCA_feature_89,PCA_feature_142,PCA_feature_138,PCA_feature_18,PCA_feature_13,PCA_feature_117,PCA_feature_97
8,0.0,0.07978630389893318,3.993303831801347,-4.674205316073177,-1.27675647831893e-15,1.9783091142150784,-12.415014510488243,3.122502256758253e-16,2.7755575615628914e-16,4.589780642704907,-0.7101430889041321,6.245004513516506e-17,4.753142324176451e-16,-1.5431356549122262,-2.356501199889854,0.4184560486598442,-0.02719224805755649
8,1.0,0.9654105045833181,-0.9763688538506361,-1.866028860483384,-3.0531133177191805e-16,0.4613189666637949,-8.18200702701287,2.0122792321330962e-16,1.7797178661349555e-16,2.0793211795922706,0.03100361733632312,-3.9898639947466563e-16,-3.191891195797325e-16,-0.7139051573383794,2.261142167634162,0.15933619455180534,-0.0381574275459495
9,0.0,0.024583882709753938,1.3763506306556934,3.3896346765306276,-2.5673907444456745e-15,-0.1669163892589996,-5.210669040533466,2.1094237467877974e-15,1.457167719820518e-16,10.678773389928569,-0.04328834336458659,-2.3433945756101693e-15,3.316791286067655e-15,3.668797717726369,0.4387171449766265,0.005877162030233418,0.030207455153733687
10,1.0,0.3826182493303974,-0.34192192377712227,-0.8304807717286655,3.469446951953614e-17,0.21982155185793462,5.070351615238595,-9.575673587391975e-16,1.6514567491299204e-15,-7.63827638403294,-0.006921876787190341,6.036837696399289e-16,3.122502256758253e-16,5.817777704080577,2.147838194650376,0.0976652090671602,0.03546029031018989
11,0.0,0.24455952891641247,5.378204006576274,11.366472021569189,-2.706168622523819e-15,0.5386696372292403,-4.539032954891779,-1.3183898417423734e-15,-3.299444051307887e-15,-2.982279114322494,0.4744854288967434,-5.759281940243e-16,-9.71445146547012e-16,-0.8546837121335782,-5.091538716687707,-0.029365828338665023,-0.11811344807778251
11,1.0,0.3350392604801463,1.3030605098136494,-6.637044550969546,4.163336342344337e-16,-0.9074143988519587,-9.042166587126967,-8.326672684688674e-17,-6.359929943799969e-16,-3.4099305106486053,0.1521429112413328,-2.2898349882893854e-16,-7.077671781985373e-16,-5.851619093885569,1.5535672857593186,-0.032530269123128175,0.07206993524572433
12,1.0,-0.128732877882768,0.052551090224522756,-0.5687617991702555,-5.412337245047638e-16,-0.794300821406367,3.8257093178742414,-5.204170427930421e-16,2.42861286636753e-15,-5.3520412939104105,0.052136072168066705,-1.1362438767648086e-15,3.885780586188048e-16,3.50367604758196,3.555302782672919,0.008799875718202121,-0.034601327096470014
12,0.0,0.3904455130231592,4.983522222254106,1.93920898092111,-1.9897278269453977e-15,-0.9540689368150521,-12.455282318492511,-4.163336342344337e-17,-2.3869795029440866e-15,3.691614881645878,-0.8398470175922383,1.7416623698807143e-15,6.938893903907228e-16,0.3406753365137299,-0.9874108742770984,-0.426293494901519,0.06046239737489917
13,0.0,-0.18269799301027922,-3.6605511220601503,-6.297449641899412,1.0824674490095276e-15,0.3399222090682814,-1.188936875504766,1.3761778175358508e-15,-3.5110803153770576e-15,0.21549395092340268,-0.16311874019663236,-6.661338147750939e-16,-1.8596235662471372e-15,-11.672316796445985,7.144971924335398,0.04501178487328639,-0.07741994276728802
13,1.0,-0.08725681338334362,5.999961242979484,-5.43165816508052,8.72565908416334e-16,-0.6062470200833361,-0.6238368685446207,6.574601973952099e-16,-6.938893903907228e-16,-2.433650649815325,-0.9677379556373519,-1.3704315460216776e-15,-7.216449660063518e-16,-0.8184849000252451,-1.3446843409166847,-0.001762907388862825,0.19084907063328876
