,label,PCA_feature_88,PCA_feature_11,PCA_feature_17,PCA_feature_137,PCA_feature_37,PCA_feature_3,PCA_feature_167,PCA_feature_130,PCA_feature_15,PCA_feature_89,PCA_feature_142,PCA_feature_138,PCA_feature_18,PCA_feature_13,PCA_feature_117,PCA_feature_97,PCA_feature_1,PCA_feature_80
6,1.0,0.08404101676982144,-1.1114766481007963,-0.7100023546717237,-8.396061623727746e-16,-2.1127050003374417,-5.143296072004946,-5.620504062164855e-16,-1.3149203947904198e-15,-1.9448535688124375,-0.03286445106710344,1.7728873924482969e-15,2.0816681711721685e-16,-1.5221332972057358,2.524770844681156,0.41888610518474473,0.28692720882523265,0.9993096463098171,1.1138494720698875
7,0.0,-0.25918686835940186,7.184854614979039,2.7264043528656146,-2.123301534595612e-15,-1.1296175613480073,-13.282130587128474,-1.8041124150158794e-16,-1.1921887088650607e-15,3.8874170202975336,-0.015039482463434034,1.4589024432964948e-15,1.0130785099704553e-15,0.19888264415619059,0.9570888840127757,-0.1911192224807412,0.87788260991601,9.193814390368084,-0.6596647585674092
7,1.0,-0.679852768581926,-3.638702520880764,-1.2633056188911116,-2.1198320876436583e-15,0.23906015425203544,-3.4308148144348847,-3.469446951953614e-16,-8.465450562766819e-16,2.434653863638206,0.2408216443565761,-5.828670879282072e-16,-2.983724378680108e-16,1.368075314742069,2.389264262677972,-0.249507727312561,-0.48851670032571565,0.13905315498154078,0.9084215436498175
7,1.0,-0.6798527685819259,-3.6387025208807633,-1.2633056188911123,-2.1510571102112408e-15,0.23906015425203445,-3.430814814434886,-3.469446951953614e-16,-8.604228440844963e-16,2.4346538636382062,0.24082164435657583,-8.534839501805891e-16,-5.620504062164855e-16,1.3680753147420697,2.389264262677972,-0.2495077273125615,-0.48851670032571565,0.13905315498154103,0.9084215436498182
8,1.0,0.9654105045833181,-0.9763688538506361,-1.866028860483384,-3.0531133177191805e-16,0.4613189666637949,-8.18200702701287,2.0122792321330962e-16,1.7797178661349555e-16,2.0793211795922706,0.03100361733632312,-3.9898639947466563e-16,-3.191891195797325e-16,-0.7139051573383794,2.261142167634162,0.15933619455180534,-0.0381574275459495,-1.0630007523668812,-0.7310205296974361
8,0.0,0.07978630389893313,3.993303831801346,-4.674205316073179,-1.582067810090848e-15,1.9783091142150775,-12.415014510488243,3.122502256758253e-16,6.591949208711867e-17,4.589780642704906,-0.7101430889041317,1.0755285551056204e-16,4.128641872824801e-16,-1.5431356549122264,-2.356501199889854,0.4184560486598442,-0.02719224805755649,1.8185811330088169,0.8021371021332936
8,1.0,0.9654105045833181,-0.9763688538506361,-1.866028860483384,-3.0531133177191805e-16,0.4613189666637949,-8.18200702701287,2.0122792321330962e-16,1.7797178661349555e-16,2.0793211795922706,0.03100361733632312,-3.9898639947466563e-16,-3.191891195797325e-16,-0.7139051573383794,2.261142167634162,0.15933619455180534,-0.0381574275459495,-1.0630007523668812,-0.7310205296974361
9,0.0,0.024583882709753938,1.3763506306556934,3.3896346765306276,-2.5673907444456745e-15,-0.1669163892589996,-5.210669040533466,2.1094237467877974e-15,1.457167719820518e-16,10.678773389928569,-0.04328834336458659,-2.3433945756101693e-15,3.316791286067655e-15,3.668797717726369,0.4387171449766265,0.005877162030233418,0.030207455153733687,-39.017477184402125,-0.0889934287438355
10,1.0,0.3826182493303944,-0.3419219237771228,-0.8304807717286661,-3.0531133177191805e-16,0.21982155185793276,5.070351615238596,-9.575673587391975e-16,1.2490009027033011e-15,-7.638276384032938,-0.006921876787190674,6.938893903907228e-16,1.8735013540549517e-16,5.817777704080579,2.147838194650376,0.09766520906716314,0.03546029031018989,45.30786377143584,-0.025429610566965077
11,1.0,0.3350392604801463,1.3030605098136494,-6.637044550969546,4.163336342344337e-16,-0.9074143988519587,-9.042166587126967,-8.326672684688674e-17,-6.359929943799969e-16,-3.4099305106486053,0.1521429112413328,-2.2898349882893854e-16,-7.077671781985373e-16,-5.851619093885569,1.5535672857593186,-0.032530269123128175,0.07206993524572433,0.8711278468204371,-0.5532158742782429
11,0.0,0.24455952891641247,5.378204006576274,11.366472021569189,-2.706168622523819e-15,0.5386696372292403,-4.539032954891779,-1.3183898417423734e-15,-3.299444051307887e-15,-2.982279114322494,0.4744854288967434,-5.759281940243e-16,-9.71445146547012e-16,-0.8546837121335782,-5.091538716687707,-0.029365828338665023,-0.11811344807778251,32.13250231921501,-0.35637519279354024
11,1.0,0.3350392604801463,1.3030605098136494,-6.637044550969546,4.163336342344337e-16,-0.9074143988519587,-9.042166587126967,-8.326672684688674e-17,-6.359929943799969e-16,-3.4099305106486053,0.1521429112413328,-2.2898349882893854e-16,-7.077671781985373e-16,-5.851619093885569,1.5535672857593186,-0.032530269123128175,0.07206993524572433,0.8711278468204371,-0.5532158742782429
12,1.0,-0.128732877882768,0.052551090224522756,-0.5687617991702555,-5.412337245047638e-16,-0.794300821406367,3.8257093178742414,-5.204170427930421e-16,2.42861286636753e-15,-5.3520412939104105,0.052136072168066705,-1.1362438767648086e-15,3.885780586188048e-16,3.50367604758196,3.555302782672919,0.008799875718202121,-0.034601327096470014,36.80566654802947,0.09849522573572025
12,1.0,-0.128732877882768,0.052551090224522756,-0.5687617991702555,-5.412337245047638e-16,-0.794300821406367,3.8257093178742414,-5.204170427930421e-16,2.42861286636753e-15,-5.3520412939104105,0.052136072168066705,-1.1362438767648086e-15,3.885780586188048e-16,3.50367604758196,3.555302782672919,0.008799875718202121,-0.034601327096470014,36.80566654802947,0.09849522573572025
12,0.0,0.3904455130231592,4.983522222254106,1.93920898092111,-1.9897278269453977e-15,-0.9540689368150521,-12.455282318492511,-4.163336342344337e-17,-2.3869795029440866e-15,3.691614881645878,-0.8398470175922383,1.7416623698807143e-15,6.938893903907228e-16,0.3406753365137299,-0.9874108742770984,-0.426293494901519,0.06046239737489917,5.808757654987163,-1.0105088306891323
12,1.0,-0.128732877882768,0.052551090224522756,-0.5687617991702555,-5.412337245047638e-16,-0.794300821406367,3.8257093178742414,-5.204170427930421e-16,2.42861286636753e-15,-5.3520412939104105,0.052136072168066705,-1.1362438767648086e-15,3.885780586188048e-16,3.50367604758196,3.555302782672919,0.008799875718202121,-0.034601327096470014,36.80566654802947,0.09849522573572025
