,label,PCA_feature_2,PCA_feature_3,PCA_feature_11,PCA_feature_13,PCA_feature_16,PCA_feature_26,PCA_feature_131,PCA_feature_135,PCA_feature_137,PCA_feature_142,PCA_feature_147,PCA_feature_153
13,1.0,-1.560996409152655,-0.6238368685446207,5.999961242979484,-1.3446843409166847,2.9604856215143385,-3.1655461284468407,8.326672684688674e-16,1.2628786905111156e-15,8.72565908416334e-16,-1.3704315460216776e-15,-1.949829186997931e-15,5.134781488891349e-16
14,0.0,42.14909781077641,20.335329349037707,-2.93675499756751,9.868065629938194,-9.234057945855916,-1.3408013154291996,3.318526009543632e-15,-2.2690183065776637e-15,-5.424480309379476e-15,3.649858193455202e-15,2.3037127760972e-15,2.1371793224034263e-15
14,1.0,12.517425245800096,16.124249306345487,-0.8981322774950342,-0.24735112883019109,13.01592852457442,-0.3856893792351918,-4.2847669856627135e-16,-7.632783294297951e-17,-1.1102230246251565e-15,-4.440892098500626e-16,2.1510571102112408e-16,3.905296225292787e-16
15,0.0,5.19811688325433,-18.864094290086587,-0.5502638801965558,-5.785754306096275,-4.173887231113643,-1.6428403172503934,2.4962670819306254e-15,-3.58046925441613e-15,-2.831068712794149e-15,-1.27675647831893e-15,2.3592239273284576e-15,1.124100812432971e-15
15,1.0,18.07710811594823,24.692075315236863,-0.503227700008713,1.0600520150007031,4.776056933873863,-3.8680166103105917,-2.4702462297909733e-15,1.4988010832439613e-15,7.771561172376096e-16,-1.5057399771478686e-15,-1.1449174941446927e-16,3.920475055707584e-16
17,1.0,-12.679127881666638,1.3134382469033308,-7.186234956338348,0.2776670970645181,0.41520591961461306,1.7433952143355351,-1.2004286453759505e-15,2.914335439641036e-16,2.9976021664879227e-15,-4.163336342344337e-16,6.38378239159465e-16,-6.938893903907228e-17
17,0.0,-12.289664130252008,-8.854987022628265,1.895975648647655,-3.1507749006460135,-0.8718496505917621,0.3184902785029102,-3.6461719060687514e-16,9.020562075079397e-16,1.3877787807814457e-16,8.743006318923108e-16,6.938893903907228e-16,8.638922910364499e-16
18,0.0,1.4993986411920188,12.770053141687828,-0.5082587850702909,-12.513116942901616,-2.527196827535605,-1.9389885033936518,2.060851489460447e-15,-1.942890293094024e-16,5.551115123125783e-16,-1.0889726620444407e-15,-2.2239154962022667e-15,1.1275702593849246e-15
19,1.0,-4.492488251840374,10.900576005510265,-3.173741332278761,0.46910889521679827,0.38381472578935316,-0.49678789608236784,4.85722573273506e-17,8.617238866914789e-16,3.5388358909926865e-16,-8.673617379884035e-17,-6.245004513516506e-17,-8.135853102331225e-16
19,0.0,6.6328478776634885,-12.596829101497049,1.7786243519514646,0.43300723441519356,-0.2157601829671676,2.8213732613443914,1.5057399771478686e-15,-3.8441472227646045e-15,-2.6020852139652106e-15,1.096345236817342e-15,-7.632783294297951e-17,-1.970645868709653e-15
