,label,PCA_feature_3,PCA_feature_134,PCA_feature_162
56,0.0,-0.6536827857406553,-1.9081958235744878e-16,-1.734723475976807e-16
57,1.0,0.7506462945407937,-5.0133508455729725e-16,1.97758476261356e-16
58,0.0,1.9167867055045147,-2.5673907444456745e-16,-2.7582103268031233e-16
59,1.0,1.5696606092391499,-2.0469737016526324e-16,1.6653345369377348e-16
60,0.0,-0.30117856718289243,9.367506770274758e-17,1.0061396160665481e-16
60,1.0,1.1282279162019897,-1.0408340855860843e-16,-5.551115123125783e-17
61,1.0,-0.416084114004904,3.165870343657673e-17,7.754213937616328e-16
62,0.0,0.27766025760776397,-4.206704429243757e-16,-2.0339632755828063e-16
63,0.0,-3.6579789411552377,-5.421010862427522e-18,-3.139849491518021e-16
64,0.0,8.530482104005054,-4.701100619897147e-16,-1.6458188978329957e-16
66,0.0,-1.3003343504424671,1.0668549377257364e-16,3.469446951953614e-18
68,0.0,0.9952947084228988,2.6020852139652106e-17,-6.175615574477433e-16
69,0.0,-2.806212004847997,2.738694687698384e-16,-2.3245294578089215e-16
71,0.0,-2.5685790132490633,2.0946785972419946e-16,-1.3704315460216776e-16
74,0.0,-1.3268033993747892,-7.632783294297951e-17,-1.5612511283791264e-17
75,0.0,-1.442742706336765,-1.8561541192951836e-16,-1.8561541192951836e-16
76,0.0,-4.643502763434583,3.2786273695961654e-16,-4.371503159461554e-16
77,0.0,-4.910406950892955,1.5612511283791264e-16,-8.777700788442644e-16
79,0.0,-0.3484953100349927,1.2888995426507677e-15,-6.626643678231403e-16
80,0.0,0.5352824418166727,4.5102810375396984e-17,-5.585809592645319e-16
81,0.0,-1.0058425501455301,-7.28583859910259e-17,-3.469446951953614e-17
82,0.0,-1.9497451137264314,3.191891195797325e-16,-1.5300261058115439e-15
83,0.0,-0.07882261059996085,7.615436059538183e-16,-7.112366251504909e-17
84,0.0,0.2525158037261868,1.457167719820518e-16,-8.187894806610529e-16
85,0.0,1.2391920884794358,-1.1102230246251565e-16,1.474514954580286e-16
86,0.0,-2.1047143381605524,-6.245004513516506e-17,-3.2612801348363973e-16
87,0.0,-5.36007985078661,-8.326672684688674e-17,-8.98586760555986e-16
88,0.0,-1.1140144583731824,-1.2836953722228372e-16,-1.465841337200402e-16
90,0.0,-1.40644489607648,2.393918396847994e-16,1.700029006457271e-16
91,0.0,-4.6119159773951255,5.134781488891349e-16,-8.118505867571457e-16
96,0.0,1.9325894980278475,4.5102810375396984e-17,-2.688821387764051e-16
98,0.0,2.485603698832743,-3.469446951953614e-17,2.740863092043355e-16
99,0.0,-3.5757934611834026,-1.0755285551056204e-16,-3.443426099813962e-16
100,0.0,-0.868627073748111,-2.0816681711721685e-16,4.3368086899420177e-16
101,0.0,-1.789871155902223,4.3021142204224816e-16,1.222980050563649e-16
102,0.0,-3.9587038088478685,2.2898349882893854e-16,-3.642919299551295e-16
103,0.0,-1.2664986715614166,-7.28583859910259e-17,-2.727852665973529e-16
105,0.0,-1.7999832773603321,4.308077332371152e-16,-3.2959746043559335e-16
107,0.0,-2.3046587229519004,-5.551115123125783e-17,4.5102810375396984e-17
108,0.0,-1.1752793658347322,-4.787836793695988e-16,5.967448757360216e-16
110,0.0,0.45569503559109126,-2.7582103268031233e-16,-2.914335439641036e-16
114,0.0,-0.3533614901043498,-1.9081958235744878e-16,7.355227538141662e-16
117,0.0,-0.537070283188053,1.1188966420050406e-16,5.100087019371813e-16
118,0.0,-3.183170974016746,1.5439038936193583e-16,1.9081958235744878e-16
119,0.0,-3.2390847991798277,5.551115123125783e-17,-9.367506770274758e-17
120,0.0,-2.8487950432876614,5.152128723651117e-16,-1.700029006457271e-16
