,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Mean_PCA_Relief_11_NB,672,336,336,0.8325,[0.8021-0.8630],0.0155,0.8226,0.5805,0.5243,0.7619,0.5238,0.7827,0.7411,0.7514,0.7733
Mean_PCA_Relief_12_SVM,672,336,336,0.8096,[0.7771-0.8420],0.0166,0.7978,0.5000,0.4800,0.7381,0.4762,0.8006,0.6756,0.7116,0.7721
Mean_PCA_Relief_12_LDA,672,336,336,0.8116,[0.7793-0.8439],0.0165,0.7992,0.4424,0.5051,0.7470,0.4940,0.8512,0.6429,0.7044,0.8120
Mean_PCA_Relief_12_AE,672,336,336,0.7397,[0.7027-0.7767],0.0189,0.7326,0.5032,0.3602,0.6786,0.3571,0.7440,0.6131,0.6579,0.7055
Mean_PCA_Relief_12_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_12_LR,672,336,336,0.8081,[0.7755-0.8407],0.0166,0.7963,0.5267,0.4762,0.7381,0.4762,0.7321,0.7440,0.7410,0.7353
Mean_PCA_Relief_12_LRLasso,672,336,336,0.7983,[0.7652-0.8315],0.0169,0.7925,0.5284,0.4646,0.7321,0.4643,0.7143,0.7500,0.7407,0.7241
Mean_PCA_Relief_12_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5042,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_12_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_12_GP,672,336,336,0.9371,[0.9200-0.9542],0.0087,0.9297,0.4841,0.7451,0.8690,0.7381,0.9375,0.8006,0.8246,0.9276
Mean_PCA_Relief_12_NB,672,336,336,0.8378,[0.8080-0.8677],0.0152,0.8333,0.6298,0.5358,0.7679,0.5357,0.7619,0.7738,0.7711,0.7647
Mean_PCA_Relief_13_SVM,672,336,336,0.8168,[0.7847-0.8489],0.0164,0.8019,0.5212,0.5157,0.7574,0.5149,0.7292,0.7857,0.7729,0.7437
Mean_PCA_Relief_13_LDA,672,336,336,0.8139,[0.7818-0.8460],0.0164,0.8017,0.4422,0.5079,0.7470,0.4940,0.8631,0.6310,0.7005,0.8217
Mean_PCA_Relief_13_AE,672,336,336,0.7280,[0.6898-0.7661],0.0195,0.6889,0.4928,0.3720,0.6860,0.3720,0.6845,0.6875,0.6866,0.6855
