,label,PCA_feature_3,PCA_feature_10,PCA_feature_11,PCA_feature_19,PCA_feature_22,PCA_feature_23,PCA_feature_27,PCA_feature_30,PCA_feature_37,PCA_feature_54,PCA_feature_59,PCA_feature_129,PCA_feature_131,PCA_feature_138,PCA_feature_140,PCA_feature_154,PCA_feature_157
7,0.0,-13.957475739768627,3.966327505916876,-0.33872380426394877,-0.13513549501429145,4.386218741343028,3.297426309278247,-0.5264199725192424,-2.081588853766956,0.5451360699292491,0.5198970673807392,0.16767064634569417,3.7470027081099033e-16,4.85722573273506e-16,7.771561172376096e-16,-1.4432899320127035e-15,0.0,1.6653345369377348e-16
8,1.0,-8.187356731638493,-2.38996623083798,4.631548760844914,-2.3684631782096184,0.4804615106998291,-0.5867138778557781,1.8154054426096504,0.5872705248024737,0.9597951056034268,-1.1764381783934377,-0.6500467183074946,1.3079815008865125e-15,-2.706168622523819e-16,-2.1163626406917047e-16,-3.7470027081099033e-16,5.48172618408671e-16,-3.469446951953614e-17
9,0.0,6.757358926328596,10.951730070572616,12.402311279699436,-2.62545768140936,-0.2973739189529373,0.07462520809534956,1.32842916804735,1.3706874506814077,-2.1436475345624437,-0.5594319244197938,0.004425265675586987,-4.385380947269368e-15,5.717648576819556e-15,8.826273045769994e-15,1.7486012637846216e-15,-6.661338147750939e-16,-1.887379141862766e-15
10,1.0,11.951006727543882,-5.324446964794673,-0.9088622277598302,0.10513775617656394,1.9782193517895328,-0.8785269128090966,1.4709850233145572,-0.7378312974343396,1.6210192625938877,-2.145929473332514,1.746267169373537,-3.774758283725532e-15,3.649858193455202e-15,-6.106226635438361e-16,1.8041124150158794e-15,4.996003610813204e-16,-3.9968028886505635e-15
10,1.0,11.951006727543884,-5.324446964794672,-0.9088622277598312,0.10513775617656218,1.9782193517895335,-0.8785269128090931,1.4709850233145572,-0.7378312974343404,1.621019262593888,-2.145929473332513,1.746267169373537,-3.941291737419306e-15,3.4555691641457997e-15,-5.551115123125783e-17,1.8041124150158794e-15,4.996003610813204e-16,-3.1086244689504383e-15
11,0.0,-0.8327379288351415,9.774054267253018,-5.096007398092667,3.1455118074056205,9.595085223773712,7.246060873117961,-2.6772864177439017,1.0518560017867928,2.2962249210967776,0.40389232355888594,1.4543517325124666,-2.6367796834847468e-15,2.8727020762175925e-15,-5.551115123125783e-17,-7.771561172376096e-16,-1.27675647831893e-15,-9.992007221626409e-16
11,1.0,-7.6435775953978675,-1.2905157352946242,2.2606688359476026,1.6617890380508888,2.5061725726333006,-4.217518318079785,0.44515557587061155,-1.9340991512762458,0.7125987130488755,-0.031761325354592695,-1.4308438179014442,2.0469737016526324e-16,1.3877787807814457e-16,1.3877787807814457e-16,-8.326672684688674e-16,-1.6653345369377348e-16,4.440892098500626e-16
11,1.0,-7.6435775953978675,-1.2905157352946242,2.2606688359476026,1.6617890380508888,2.5061725726333006,-4.217518318079785,0.44515557587061155,-1.9340991512762458,0.7125987130488755,-0.031761325354592695,-1.4308438179014442,2.0469737016526324e-16,1.3877787807814457e-16,1.3877787807814457e-16,-8.326672684688674e-16,-1.6653345369377348e-16,4.440892098500626e-16
12,1.0,7.025139716703988,-1.757588190700068,4.415049766420627,1.4330867308358997,0.4523496294673523,-4.630936383900311,-3.1887415535134735,-4.856893582190588,2.3096765750915855,2.0205587245341903,-2.7003005173745875,-1.5265566588595902e-15,1.1102230246251565e-15,-5.551115123125783e-16,1.3322676295501878e-15,1.1102230246251565e-16,-2.7200464103316335e-15
13,1.0,3.752443227956284,-1.8795708472382318,-0.14396315556264094,-5.283349299701444,-2.0190738679951368,5.365143146730213,0.5029957278992804,3.6404653782305707,0.14163348404415765,1.0679651630940008,-0.9059103532031686,-3.608224830031759e-15,8.881784197001252e-16,-3.885780586188048e-16,5.551115123125783e-16,-7.216449660063518e-16,-3.3861802251067274e-15
13,1.0,3.752443227956284,-1.8795708472382318,-0.14396315556264094,-5.283349299701444,-2.0190738679951368,5.365143146730213,0.5029957278992804,3.6404653782305707,0.14163348404415765,1.0679651630940008,-0.9059103532031686,-3.608224830031759e-15,8.881784197001252e-16,-3.885780586188048e-16,5.551115123125783e-16,-7.216449660063518e-16,-3.3861802251067274e-15
13,0.0,5.892691397010167,3.932308019587314,11.786860306983145,-2.184546386463794,-7.186374263471545,2.5217527572339806,-6.216869850998434,-4.158602417998746,1.8525003492594208,0.1654422675400285,0.11735460921719656,-3.3653635433950058e-15,2.6645352591003757e-15,2.761679773755077e-15,-1.942890293094024e-16,-5.898059818321144e-16,3.122502256758253e-16
16,1.0,4.0616414260344555,-4.391765188481473,0.9902055669896409,2.3257682250932037,-1.9734974787729038,1.7727569080986931,1.4880256119455844,-0.12835804554306568,-1.0820856048654046,-0.19190678173366887,0.7015417186972366,4.649058915617843e-16,-2.0816681711721685e-17,-9.645062526431047e-16,3.3306690738754696e-16,4.649058915617843e-16,5.551115123125783e-16
16,1.0,4.0616414260344555,-4.391765188481473,0.9902055669896409,2.3257682250932037,-1.9734974787729038,1.7727569080986931,1.4880256119455844,-0.12835804554306568,-1.0820856048654046,-0.19190678173366887,0.7015417186972366,4.649058915617843e-16,-2.0816681711721685e-17,-9.645062526431047e-16,3.3306690738754696e-16,4.649058915617843e-16,5.551115123125783e-16
16,1.0,4.0616414260344555,-4.391765188481473,0.9902055669896409,2.3257682250932037,-1.9734974787729038,1.7727569080986931,1.4880256119455844,-0.12835804554306568,-1.0820856048654046,-0.19190678173366887,0.7015417186972366,4.649058915617843e-16,-2.0816681711721685e-17,-9.645062526431047e-16,3.3306690738754696e-16,4.649058915617843e-16,5.551115123125783e-16
16,0.0,-17.773352285261133,2.0218789746732795,1.3100264453463581,0.18427272560730126,4.266428997386244,-1.971981585492237,-2.272675211503069,5.607952032994543,0.03624105102727848,-2.6096269236183547,0.4360565400761173,1.249000902703301e-16,-1.2004286453759505e-15,1.2628786905111156e-15,-1.609823385706477e-15,-4.440892098500626e-16,-5.134781488891349e-16
16,1.0,4.0616414260344555,-4.391765188481473,0.9902055669896409,2.3257682250932037,-1.9734974787729038,1.7727569080986931,1.4880256119455844,-0.12835804554306568,-1.0820856048654046,-0.19190678173366887,0.7015417186972366,4.649058915617843e-16,-2.0816681711721685e-17,-9.645062526431047e-16,3.3306690738754696e-16,4.649058915617843e-16,5.551115123125783e-16
17,1.0,3.949183249362618,-1.3975196264218828,-0.08696359287988042,0.9246804427228302,-2.684799372780949,-0.9826569775529517,-0.09079365048603394,1.2718239530694513,-0.4791605351712038,0.20752286083649235,0.9109165096070456,1.6566609195578508e-15,2.0816681711721685e-15,9.159339953157541e-16,6.38378239159465e-16,-3.608224830031759e-16,-3.677613769070831e-16
17,0.0,-5.93073284164741,7.487453069592778,-0.9924907857055542,-1.2826261586992522,0.5540671696454497,0.39650104539927816,-3.860655865764943,1.6355310653999515,-0.11809386876752992,-0.8199225069169462,-1.419858304966967,-1.5543122344752192e-15,2.7755575615628914e-16,9.992007221626409e-16,2.220446049250313e-16,-5.551115123125783e-17,-7.008282842946301e-16
