,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Mean_PCA_KW_11_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_12_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_KW_12_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_13_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_KW_13_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_14_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_KW_14_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_15_SVM,127,43,84,0.8942,[0.8408-0.9476],0.0272,0.7256,0.3547,0.6655,0.8110,0.7029,0.9767,0.7262,0.6462,0.9839
Mean_PCA_KW_15_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_16_SVM,127,43,84,0.8942,[0.8408-0.9476],0.0272,0.7256,0.3547,0.6655,0.8110,0.7029,0.9767,0.7262,0.6462,0.9839
Mean_PCA_KW_16_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_17_SVM,127,43,84,0.8942,[0.8408-0.9476],0.0272,0.7256,0.3547,0.6655,0.8110,0.7029,0.9767,0.7262,0.6462,0.9839
Mean_PCA_KW_17_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_18_SVM,127,43,84,0.8942,[0.8408-0.9476],0.0272,0.7256,0.3547,0.6655,0.8110,0.7029,0.9767,0.7262,0.6462,0.9839
Mean_PCA_KW_18_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_19_SVM,127,43,84,0.8942,[0.8408-0.9476],0.0272,0.7256,0.3547,0.6655,0.8110,0.7029,0.9767,0.7262,0.6462,0.9839
Mean_PCA_KW_19_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_20_SVM,127,43,84,0.8942,[0.8408-0.9476],0.0272,0.7256,0.3547,0.6655,0.8110,0.7029,0.9767,0.7262,0.6462,0.9839
Mean_PCA_KW_20_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_1_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_RFE_1_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_2_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_RFE_2_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_3_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_RFE_3_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_4_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_RFE_4_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
