,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Zscore_PCA_Relief_14_SVM,168,84,84,0.8580,[0.7976-0.9184],0.0308,0.7620,0.5683,0.6321,0.8155,0.6310,0.7857,0.8452,0.8354,0.7978
Zscore_PCA_Relief_14_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_15_SVM,168,84,84,0.8598,[0.8000-0.9196],0.0305,0.7649,0.5443,0.6321,0.8155,0.6310,0.7857,0.8452,0.8354,0.7978
Zscore_PCA_Relief_15_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_16_SVM,168,84,84,0.8581,[0.7980-0.9182],0.0307,0.7678,0.5000,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_Relief_16_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_17_SVM,168,84,84,0.8726,[0.8148-0.9304],0.0295,0.7846,0.4709,0.6790,0.8393,0.6786,0.8214,0.8571,0.8519,0.8276
Zscore_PCA_Relief_17_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_18_SVM,168,84,84,0.8689,[0.8098-0.9280],0.0302,0.7741,0.5273,0.6809,0.8393,0.6786,0.7976,0.8810,0.8701,0.8132
Zscore_PCA_Relief_18_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_19_SVM,168,84,84,0.8781,[0.8209-0.9353],0.0292,0.7845,0.5428,0.6809,0.8393,0.6786,0.7976,0.8810,0.8701,0.8132
Zscore_PCA_Relief_19_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_20_SVM,168,84,84,0.8815,[0.8266-0.9365],0.0280,0.8072,0.5554,0.6809,0.8393,0.6786,0.7976,0.8810,0.8701,0.8132
Zscore_PCA_Relief_20_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_1_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_1_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_2_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_2_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_3_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_3_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_4_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_4_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_5_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_5_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_6_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_6_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_7_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_7_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_8_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_8_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_9_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_ANOVA_9_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_10_SVM,168,84,84,0.8893,[0.8395-0.9392],0.0254,0.8590,0.6436,0.6364,0.8155,0.6310,0.7500,0.8810,0.8630,0.7789
Mean_PCA_ANOVA_10_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_11_SVM,168,84,84,0.8893,[0.8395-0.9392],0.0254,0.8590,0.6436,0.6364,0.8155,0.6310,0.7500,0.8810,0.8630,0.7789
Mean_PCA_ANOVA_11_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
