,label,PCA_feature_110,PCA_feature_124,PCA_feature_114,PCA_feature_18
24,1.0,-0.23220388897676122,0.10535074924233495,-0.16576584785781528,1.1663587516345186
24,0.0,0.15877828030426866,0.05713676533806805,0.0672223056414179,1.2557439446253607
24,1.0,-0.23220388897676209,0.10535074924233456,-0.16576584785781512,1.1663587516345184
25,0.0,-0.3313979082957506,-0.06422009161663572,0.37079656547161344,-1.4586055755469363
27,1.0,0.07453453096330533,-0.04422522168394502,0.15237105067924062,0.5460458116527128
27,1.0,0.07453453096330533,-0.04422522168394502,0.15237105067924062,0.5460458116527128
27,0.0,-0.14443472927130985,0.08661938194678101,0.03922001430996687,-4.41274342598177
28,1.0,0.0845736929293924,0.03601657564272332,0.031680937854888805,-2.4008791754485608
28,1.0,0.08457369292939307,0.036016575642723384,0.03168093785488893,-2.4008791754485603
28,0.0,0.038522105303214954,0.07636170065310915,0.02569938323364801,-6.549701342054454
28,1.0,0.08457369292939307,0.036016575642723384,0.03168093785488893,-2.4008791754485603
28,1.0,0.0845736929293924,0.03601657564272332,0.031680937854888805,-2.4008791754485608
29,0.0,0.011121122476105416,0.03560473067652853,-0.0575056808115868,1.6858333976988211
29,1.0,-0.292339540889978,-0.13504519562665984,-0.12414686530516647,1.5436037729028012
29,1.0,-0.292339540889978,-0.13504519562665984,-0.12414686530516647,1.5436037729028012
30,0.0,-0.07120111374966304,-0.012244056484214616,0.2138969766750117,0.7199265017252034
31,1.0,0.08575318700242285,0.04204446841983217,0.017557320904987295,0.6673010284851759
31,1.0,0.08575318700242285,0.04204446841983217,0.017557320904987295,0.6673010284851759
32,1.0,-0.0018120722334286632,0.25984625758900326,0.06947908185137625,-0.23697190135634344
33,1.0,-0.042092986575974344,-0.0350264406170662,0.11434159204428584,-0.22668973913609558
33,1.0,-0.042092986575974344,-0.0350264406170662,0.11434159204428584,-0.22668973913609558
33,1.0,-0.042092986575974344,-0.0350264406170662,0.11434159204428584,-0.22668973913609558
34,1.0,-0.03024005028383764,-0.009262856979247794,-0.047986663702780305,-1.5069906414457859
34,1.0,-0.03024005028383764,-0.009262856979247794,-0.047986663702780305,-1.5069906414457859
34,1.0,-0.03024005028383764,-0.009262856979247794,-0.047986663702780305,-1.5069906414457859
34,1.0,-0.03024005028383764,-0.009262856979247794,-0.047986663702780305,-1.5069906414457859
34,0.0,-0.04507721864526898,0.05920287780935457,-0.03328324993050247,3.401911933380664
34,1.0,-0.03024005028383764,-0.009262856979247794,-0.047986663702780305,-1.5069906414457859
35,0.0,0.032604952318085356,0.04699783185968598,0.02493052752099431,1.3629133139930871
35,1.0,-0.18551812944604357,0.12692615288652048,0.15012295031180173,1.3449070481904708
35,1.0,-0.18551812944604357,0.12692615288652048,0.15012295031180173,1.3449070481904708
36,0.0,0.0699601369028186,0.14100189596092572,0.16634528610376034,-5.194219785572889
37,1.0,0.25213170866099277,0.3650211372137971,0.22556862109680054,-1.269745657197191
37,0.0,-0.0892088312080839,-0.062160518416501054,-0.07110705039519172,3.524784790271124
38,1.0,0.15471719184215044,-0.41421422479658204,0.7572562059658008,-2.065766924429949
39,0.0,-0.2037876706304,0.024059240233001045,-0.07182574816888868,0.8418371878368041
39,1.0,0.07119742951451716,-0.5683644517230515,0.04335495658199248,1.2449887291886943
40,1.0,0.1451863534140584,-0.1868644363406736,0.44625259097785797,2.2825563527048858
40,1.0,0.1451863534140584,-0.1868644363406736,0.44625259097785797,2.2825563527048858
41,0.0,-0.5315309386897226,0.34725401386059773,0.0934058061219796,1.91017764559355
41,1.0,-0.5009203693904445,-0.0948521341937576,0.1615561666807987,0.3799275067203478
42,1.0,0.034110080407215915,0.04617702765760445,-0.17844101009729857,0.682631763826507
42,0.0,-0.13330263656702251,0.4428667404161636,0.9419591063565933,-0.5067325334633035
43,1.0,0.05606695936093109,0.00990845529157347,-4.026722535066529e-05,-3.564168835243787
