,label,PCA_feature_112,PCA_feature_114,PCA_feature_14,PCA_feature_107,PCA_feature_110,PCA_feature_7,PCA_feature_132,PCA_feature_13
13,0.0,0.0015329039679709798,0.0019953732071756117,-0.6028072520624208,0.006122686927846531,-0.004291708177086743,-0.34005788002535287,-3.4233683596229803e-16,-1.5290869442701343
16,1.0,-0.01135973983884955,0.006177639735310037,-1.045421725087574,0.00993931926404916,0.02100432509120846,-0.9864948831520471,2.3418766925686896e-17,-0.04476600780324577
16,1.0,-0.01135973983884955,0.006177639735310037,-1.045421725087574,0.00993931926404916,0.02100432509120846,-0.9864948831520471,2.3418766925686896e-17,-0.04476600780324577
16,1.0,-0.01135973983884955,0.006177639735310037,-1.045421725087574,0.00993931926404916,0.02100432509120846,-0.9864948831520471,2.3418766925686896e-17,-0.04476600780324577
16,0.0,-0.0016354375368579158,-0.038604570933196775,0.2805418963968743,-0.017418307868400564,-0.026693573442112137,-0.6503379353792353,1.6479873021779667e-16,-0.7300681454249596
16,1.0,-0.01135973983884955,0.006177639735310037,-1.045421725087574,0.00993931926404916,0.02100432509120846,-0.9864948831520471,2.3418766925686896e-17,-0.04476600780324577
17,1.0,-0.18465483590321552,-0.008880727583287864,0.4397709063728723,-0.0038703683473867226,0.015859968050093928,-0.30179822393060907,-1.700029006457271e-16,0.5469624026601853
17,0.0,0.03767569582729395,-0.04271611855663124,-0.893996606869264,-0.02877642770343515,0.07580099951473529,-1.170114660017568,-1.2836953722228372e-16,0.6912924486053481
18,0.0,0.01703671392753743,-0.021564909183810446,0.1453844882634767,-0.011675072265409826,-0.035784431135427286,0.022562114951258053,4.40619762898109e-16,1.1505332972177849
18,1.0,-0.007024839087425537,0.0025337930956110775,-0.062028913724108896,0.013749291540836012,-0.025572565822083435,-0.2583009149978121,-1.5959455978986625e-16,-0.4218714253889344
19,1.0,-0.031320496086569186,-0.019305888298372847,0.15156333754167356,-0.02276241103231995,0.01322692960397235,0.578278935818621,1.0234868508263162e-16,-0.05616356070228241
19,0.0,0.011295076366205227,-0.08122182600563624,1.1166585988733837,-0.005753813332114187,0.02405257984141055,-0.73587263177874,3.400058012914542e-16,0.4514658674472935
19,1.0,-0.031320496086569186,-0.019305888298372875,0.15156333754167356,-0.022762411032319838,0.013226929603972384,0.578278935818621,1.1449174941446927e-16,-0.05616356070228241
20,0.0,-0.02264189788922434,-0.05278035186230062,0.9447267777192374,-0.02208754466091807,-0.003957740339481389,-0.7747728775903964,9.8879238130678e-17,-0.32731336216093093
20,1.0,-0.010239378234675384,-0.018444724308044953,0.058881795293742795,-0.047704064574060484,0.01981350695384345,0.6260570682406106,1.6403978869705682e-16,-0.4849653902837925
20,1.0,-0.010239378234675384,-0.018444724308044953,0.058881795293742795,-0.047704064574060484,0.01981350695384345,0.6260570682406106,1.6403978869705682e-16,-0.4849653902837925
21,0.0,0.010009661726431524,-0.00213930668666526,0.5842610531410523,-0.03835834475249289,0.01844534017024292,-1.1790277959758737,2.636779683484747e-16,-0.18174033141447402
