,label,PCA_feature_2,PCA_feature_14,PCA_feature_129,PCA_feature_148,PCA_feature_150,PCA_feature_167
16,1.0,0.6243642119290396,-1.045421725087574,2.8449465006019636e-16,-8.326672684688674e-17,-1.2836953722228372e-16,1.0408340855860843e-16
16,0.0,0.898904053466962,0.2805418963968743,2.979929671076409e-16,2.6020852139652106e-16,2.229119666630197e-16,-2.2898349882893854e-16
17,1.0,-1.845683555933669,0.4397709063728723,2.0469737016526324e-16,-1.700029006457271e-16,-4.336808689942018e-17,1.8214596497756474e-16
17,0.0,-1.0796895583547086,-0.893996606869264,2.658463726934457e-16,1.3183898417423734e-16,2.3245294578089215e-16,-2.42861286636753e-16
18,1.0,-1.859027036038269,-0.062028913724108896,2.393918396847994e-16,1.734723475976807e-18,2.6020852139652106e-17,-3.122502256758253e-17
18,0.0,-1.3228061117491239,0.1453844882634767,2.498001805406602e-16,-2.7582103268031233e-16,0.0,-1.0061396160665481e-16
19,1.0,-2.016409657068404,0.15156333754167356,6.245004513516506e-17,-1.4051260155412137e-16,5.204170427930421e-17,7.28583859910259e-17
19,0.0,3.567551603698655,1.1166585988733837,-2.237793284010081e-16,1.0408340855860843e-16,3.2959746043559335e-17,4.163336342344337e-17
20,0.0,0.37605737600273575,0.9447267777192374,2.3245294578089215e-16,3.2439329000766293e-16,2.914335439641036e-16,-1.3183898417423734e-16
20,1.0,-0.5680045537097216,0.058881795293742795,8.543513119185775e-17,-1.6479873021779667e-16,-3.122502256758253e-17,1.1796119636642288e-16
21,0.0,2.9048589899775985,0.5842610531410523,-1.3877787807814457e-17,4.36282954208167e-16,2.0816681711721685e-16,-6.245004513516506e-17
21,1.0,5.132915249496049,-1.0956840385236188,1.0408340855860843e-16,-1.0408340855860843e-16,-8.673617379884035e-17,-2.5326962749261384e-16
22,0.0,5.312152024223375,0.27623182984816314,-7.73686670285656e-16,5.898059818321144e-17,-1.2923689896027213e-16,-3.469446951953614e-16
