,label,PCA_feature_3,PCA_feature_10,PCA_feature_11,PCA_feature_23,PCA_feature_27,PCA_feature_30,PCA_feature_54,PCA_feature_59,PCA_feature_129,PCA_feature_131,PCA_feature_140,PCA_feature_154
11,1.0,-7.6435775953978675,-1.2905157352946242,2.2606688359476026,-4.217518318079785,0.44515557587061155,-1.9340991512762458,-0.031761325354592695,-1.4308438179014442,2.0469737016526324e-16,1.3877787807814457e-16,-8.326672684688674e-16,-1.6653345369377348e-16
11,0.0,-0.832737928835142,9.774054267253018,-5.096007398092667,7.246060873117959,-2.6772864177439017,1.0518560017867933,0.40389232355888627,1.4543517325124666,-3.219646771412954e-15,2.1788126858268697e-15,-7.771561172376096e-16,-1.27675647831893e-15
12,1.0,7.025139716703988,-1.757588190700068,4.415049766420627,-4.630936383900311,-3.1887415535134735,-4.856893582190588,2.0205587245341903,-2.7003005173745875,-1.5265566588595902e-15,1.1102230246251565e-15,1.3322676295501878e-15,1.1102230246251565e-16
13,0.0,5.892691397010167,3.932308019587314,11.786860306983145,2.5217527572339806,-6.216869850998434,-4.158602417998746,0.1654422675400285,0.11735460921719656,-3.3653635433950058e-15,2.6645352591003757e-15,-1.942890293094024e-16,-5.898059818321144e-16
13,1.0,3.752443227956284,-1.8795708472382318,-0.14396315556264094,5.365143146730213,0.5029957278992804,3.6404653782305707,1.0679651630940008,-0.9059103532031686,-3.608224830031759e-15,8.881784197001252e-16,5.551115123125783e-16,-7.216449660063518e-16
16,1.0,4.0616414260344555,-4.391765188481473,0.9902055669896409,1.7727569080986931,1.4880256119455844,-0.12835804554306568,-0.19190678173366887,0.7015417186972366,4.649058915617843e-16,-2.0816681711721685e-17,3.3306690738754696e-16,4.649058915617843e-16
16,0.0,-17.773352285261133,2.0218789746732795,1.3100264453463581,-1.971981585492237,-2.272675211503069,5.607952032994543,-2.6096269236183547,0.4360565400761173,1.249000902703301e-16,-1.2004286453759505e-15,-1.609823385706477e-15,-4.440892098500626e-16
17,1.0,3.949183249362618,-1.3975196264218828,-0.08696359287988042,-0.9826569775529517,-0.09079365048603394,1.2718239530694513,0.20752286083649235,0.9109165096070456,1.6566609195578508e-15,2.0816681711721685e-15,6.38378239159465e-16,-3.608224830031759e-16
17,0.0,-5.930732841647412,7.48745306959278,-0.9924907857055545,0.39650104539927483,-3.860655865764943,1.6355310653999504,-0.8199225069169466,-1.4198583049669657,-1.1379786002407855e-15,5.689893001203927e-16,2.220446049250313e-16,-5.551115123125783e-17
18,1.0,-3.618688830225743,-3.303225945427295,2.7463441449781105,-1.437537370921648,0.31960274548769985,-0.8291772372877828,-0.15321322889320815,-1.9650669323127519,1.3322676295501878e-15,7.077671781985373e-16,1.249000902703301e-16,-7.771561172376096e-16
18,0.0,14.105391365313107,7.840969547770214,-7.16988567072683,-2.353466058857414,1.6417381629296803,-0.3782659671663099,-0.4105516975338877,-0.43384177697783266,-1.3877787807814457e-15,2.4980018054066022e-15,4.996003610813204e-16,1.1102230246251565e-16
19,1.0,8.509448401353094,-1.2795900014775223,1.5845591776949228,0.04634559916034087,0.505891412070713,0.9992232074934817,-0.5805460368659887,0.8349163943378752,1.1657341758564144e-15,-3.885780586188048e-16,1.1102230246251565e-16,3.3306690738754696e-16
19,0.0,-19.380880548218407,0.49444280237182014,-2.437499281026412,-0.29133990599013937,-1.6886894295049135,-2.9867513532055803,-1.3310259840607848,-0.3672131460161303,2.3869795029440866e-15,2.7408630920433552e-15,-1.7208456881689926e-15,-1.304512053934559e-15
20,0.0,-10.968484579875305,1.0746037195972262,4.1579628540479066,-4.202112479447175,6.471631530394472,1.7456115097494518,2.6351399318163935,-0.3975397103347995,1.1379786002407855e-15,-1.7486012637846216e-15,-3.608224830031759e-16,2.42861286636753e-16
