,label,PCA_feature_11,PCA_feature_3,PCA_feature_28,PCA_feature_124,PCA_feature_122,PCA_feature_15,PCA_feature_134,PCA_feature_89,PCA_feature_23,PCA_feature_126,PCA_feature_148,PCA_feature_14,PCA_feature_128,PCA_feature_30,PCA_feature_16,PCA_feature_138,PCA_feature_141,PCA_feature_1,PCA_feature_53
13,0.0,0.4121239507572843,0.20311133387521232,-0.42012319878472887,-0.003536194907208398,-0.0014077387206777453,0.7132616418695038,-3.7816971776294395e-16,-0.06938669621355646,-0.9225347955193745,0.0027821085591415197,-6.314393452555578e-16,-0.25777657185905906,1.0408340855860843e-17,-0.0009401141052611389,-0.6131544887125842,2.3592239273284576e-16,-2.0816681711721685e-16,-2.8293667304162713,0.04844377285510801
14,1.0,-0.13802548833820713,2.1354194637571142,0.19766653111641092,0.005247211738739682,0.04021162129708885,-1.8614808521556228,3.9898639947466563e-16,0.03521484353778952,-0.765519405727874,0.0066230172897593954,1.682681771697503e-16,-0.9968536690031522,-1.6479873021779667e-16,-0.40684192951427406,-0.4977974570319285,1.457167719820518e-16,4.787836793695988e-16,5.617067244739281,0.06531602255718524
14,0.0,0.43301682231288136,1.1954365890073364,0.09239756017708545,0.002192974527279609,-0.004653495424992299,1.9658581694219175,1.2923689896027213e-15,-0.0028230005143380296,0.8259823849925005,0.001255187902063394,2.0816681711721685e-16,-0.979514885064475,-2.671474153004283e-16,-0.09580720328858658,-0.8357420502560915,-2.5673907444456745e-16,1.3877787807814457e-16,10.394920883535008,0.40577167441193135
15,1.0,-0.11587704823165752,2.988859668830028,0.1205566024485086,0.002647505974980424,-0.017093181349171226,-0.8898288257202748,1.708702623837155e-16,-0.036081524351351195,-0.9565498952281128,0.00027474890077007486,-5.551115123125783e-17,-0.5712868521948838,-6.245004513516506e-17,0.464864656146642,-0.5941889791606634,2.706168622523819e-16,2.914335439641036e-16,4.554837580388601,0.006608079551147908
15,1.0,-0.11587704823165755,2.9888596688300275,0.1205566024485086,0.002647505974980327,-0.017093181349171246,-0.8898288257202743,1.6566609195578508e-16,-0.036081524351351285,-0.9565498952281118,0.00027474890077007486,5.551115123125783e-17,-0.5712868521948838,-4.336808689942018e-17,0.4648646561466418,-0.5941889791606629,2.5673907444456745e-16,2.7755575615628914e-16,4.554837580388601,0.006608079551147769
15,0.0,-0.13769404107272837,-3.9623273601215776,-0.13517999230091637,-0.000305243905086211,0.029782479780815482,0.2715399650859489,6.83481049534862e-16,-0.1765820800729747,-0.09636077275482724,-0.027107446415263633,8.326672684688674e-17,0.9767938579071034,-1.8388068845354155e-16,-0.13438519933638257,-0.2156154703021696,-2.5673907444456745e-16,-8.326672684688674e-17,-1.5181238489949602,0.18070991474431242
17,0.0,0.7769372101251589,0.3296911440054615,-0.4301224953983913,0.05767858429317563,-0.04910500295728902,0.22345461492882862,2.671474153004283e-16,0.14540282968103213,-0.15153866818228612,-0.027965265939483078,3.2612801348363973e-16,0.25165016003272306,8.803721640582296e-17,-0.34065833736981566,0.749367211530807,1.0408340855860843e-16,-2.7755575615628914e-17,2.7154909264171057,0.23338735457793677
17,1.0,-0.3659010173484959,1.4220990404645693,0.04993041966757841,0.015286709716029578,0.046738934962842454,-0.4710601572117801,-2.8622937353617317e-16,0.06370340883917668,0.5706059678175037,0.005289228670774932,-2.0122792321330962e-16,-0.6538688846509129,5.204170427930421e-17,0.12899636252418714,-0.43565303128760074,8.326672684688674e-17,-5.551115123125783e-17,-1.8087451272555444,-0.06717290580361741
17,1.0,-0.3659010173484959,1.4220990404645693,0.04993041966757841,0.015286709716029578,0.046738934962842454,-0.4710601572117801,-2.8622937353617317e-16,0.06370340883917668,0.5706059678175037,0.005289228670774932,-2.0122792321330962e-16,-0.6538688846509129,5.204170427930421e-17,0.12899636252418714,-0.43565303128760074,8.326672684688674e-17,-5.551115123125783e-17,-1.8087451272555444,-0.06717290580361741
18,0.0,0.6826547442889357,2.3498442732728577,0.04656706857174184,-0.0017612516745269188,0.01710163885229098,0.22855894003168314,2.0990154059319366e-16,-0.07451539768268807,-0.7151594934273265,0.01497956410271004,-2.255140518769849e-16,1.063707011966362,8.413408858487514e-17,-0.13636802379303092,1.1749520544915881,-7.632783294297951e-17,-6.453171330633722e-16,-0.4495885586503964,0.24714426126476297
19,0.0,-0.1813630003201639,-4.141118292334217,0.20134074395620216,-0.0023300097158744093,-0.002929306082399348,0.46331002280789924,3.6477982093274797e-16,-0.0606060206357493,-0.28680262706962106,0.009391497723064251,-1.5959455978986625e-16,1.2056781781438655,-1.5092094240998222e-16,0.12085242261957593,0.3422937733067868,-1.5959455978986625e-16,4.163336342344337e-17,-0.11678039282573968,-0.21242324776564153
19,1.0,-0.5547244128385194,1.810992665267792,0.014018675988712564,-0.0031607270539087268,-0.002030903282168081,-0.005100222778140387,-5.629177679544739e-16,0.04729336481004156,-0.25282947551238966,-0.0030953991045955705,-2.1163626406917047e-16,-0.04367262554987765,3.2959746043559335e-17,0.0671925914266512,-0.0022355727940749186,1.249000902703301e-16,-9.71445146547012e-17,-1.0529526562293225,-0.18765784426931098
19,1.0,-0.5547244128385198,1.8109926652677923,0.014018675988712564,-0.003160727053908595,-0.0020309032821681622,-0.0051002227781403245,-5.516420653606247e-16,0.04729336481004156,-0.2528294755123898,-0.0030953991045955705,-1.7694179454963432e-16,-0.04367262554987765,9.540979117872439e-18,0.06719259142665121,-0.0022355727940747867,1.5265566588595902e-16,-1.3183898417423734e-16,-1.0529526562293228,-0.18765784426931098
21,0.0,0.4497524275853184,-3.976443803452289,-0.38060152285075627,-0.010739171545387102,0.01227430103701303,0.9559608295164649,8.591218014775137e-16,0.036865526211508404,0.34767464846824814,0.020276794340295754,2.3245294578089215e-16,0.5082241291811939,5.117434254131581e-17,0.4338008276538738,0.12479050628548619,-2.220446049250313e-16,2.211772431870429e-17,0.5537917124610752,0.2205376127286478
22,1.0,-1.0172358761446576,1.1176427403898566,0.08704303234093375,0.02192764659436662,-0.011483375910724765,0.19837215707124284,-3.3480163086352377e-16,-0.04039434980967437,-0.24933721000233394,0.017457369681745667,-3.642919299551295e-17,0.4499627029617148,2.867714746224159e-17,-0.08278218082671365,0.05865603446685033,-4.85722573273506e-17,-1.5612511283791264e-16,-1.3885600105036182,-0.05390638920878002
22,0.0,0.02594522956937318,0.561733193467024,0.18080283294515492,0.0007510568304956861,0.002893201986089774,0.6462371680834003,7.042977312465837e-16,0.07548950936664581,0.47203595220918987,0.002025638158296634,3.469446951953614e-17,0.06133845750058958,-2.255140518769849e-16,-0.12722888954026196,-0.9840139988788863,1.8041124150158794e-16,1.3877787807814457e-17,6.510466269237648,-0.34169084206775246
22,1.0,-1.0172358761446576,1.1176427403898566,0.08704303234093375,0.02192764659436662,-0.011483375910724765,0.19837215707124284,-3.3480163086352377e-16,-0.04039434980967437,-0.24933721000233394,0.017457369681745667,-3.642919299551295e-17,0.4499627029617148,2.867714746224159e-17,-0.08278218082671365,0.05865603446685033,-4.85722573273506e-17,-1.5612511283791264e-16,-1.3885600105036182,-0.05390638920878002
23,0.0,-0.8035520877589344,-0.26489577480088244,-0.26534718060471185,0.010729988023535184,-0.09154375768081291,-1.100094986836386,-3.469446951953614e-16,0.04992525816723584,0.009644573970882593,0.004777220455948875,-1.249000902703301e-16,0.405323342504038,-6.591949208711867e-17,-0.18881841992593631,-0.2806293248237348,2.7755575615628914e-17,-6.938893903907228e-17,-1.5534669653085902,-0.17697541517775675
24,0.0,0.09897668423511699,-4.261625887568386,-0.1904750571768363,0.036153039173042245,-0.05611956936368831,-0.3619075928934088,1.5785983631388945e-16,-0.04265219573402789,0.37304370081948074,-0.03308616340950001,-4.0245584642661925e-16,-0.6465031163310851,-3.5561831257524545e-17,-0.5337947858616245,0.14959525846867242,-1.1449174941446927e-16,-6.591949208711867e-17,-1.8399396913193897,0.008765905745290126
25,1.0,-0.3206658363652197,3.2859232520487516,-0.16020654376398674,0.028451763539484837,-0.011844259334814148,-0.3259981480623409,8.012254054667878e-17,0.08328880752172296,-0.06998610685152903,0.019282732240162477,-2.636779683484747e-16,0.229542224891093,-7.112366251504909e-17,-0.281114596107695,-0.0581400636495909,-7.632783294297951e-17,-4.163336342344337e-16,-2.424415839967282,-0.2859219746767809
25,1.0,-0.32066583636521956,3.2859232520487516,-0.16020654376398674,0.028451763539484864,-0.011844259334814235,-0.32599814806234084,1.214306433183765e-17,0.08328880752172305,-0.06998610685152905,0.019282732240162477,-2.498001805406602e-16,0.229542224891093,-7.45931094670027e-17,-0.2811145961076947,-0.05814006364959093,-2.42861286636753e-17,-4.163336342344337e-16,-2.4244158399672826,-0.2859219746767809
26,0.0,-1.7297342401640843,-3.3730799866045302,0.053265335037170604,0.010663114205483881,0.00896564649699566,-0.1264381263690196,-3.191891195797325e-16,0.03237147441009459,0.1145790983628055,-0.03243807087964491,-7.632783294297951e-16,-0.8119689532750338,-2.0816681711721685e-16,-0.0546906298001324,0.05826856151749128,5.551115123125783e-17,-1.8735013540549517e-16,-3.386139178460205,0.13927184465801465
27,1.0,0.36066612306529533,0.06985673468634784,0.1677074134320415,-0.013475920012412893,0.03024365588496703,-0.31753109444185024,-2.5825695748604716e-16,-0.04475294918979327,-0.13490140489990535,0.0017005346232856766,4.3021142204224816e-16,-0.3211798261939002,2.211772431870429e-17,0.5187542222473034,0.43716019960796004,2.636779683484747e-16,-1.1796119636642288e-16,1.525741153531031,0.17185347946817336
27,1.0,0.36066612306529533,0.06985673468634784,0.1677074134320415,-0.013475920012412893,0.03024365588496703,-0.31753109444185024,-2.5825695748604716e-16,-0.04475294918979327,-0.13490140489990535,0.0017005346232856766,4.3021142204224816e-16,-0.3211798261939002,2.211772431870429e-17,0.5187542222473034,0.43716019960796004,2.636779683484747e-16,-1.1796119636642288e-16,1.525741153531031,0.17185347946817336
28,0.0,-0.8696716083528713,-2.294917467513718,0.5358182750487985,0.005427178511893614,-0.005195948935184576,0.19182321594731613,5.572799166575493e-17,-0.052774135817197934,-0.11350970239432943,0.001961668923874206,4.0939474033052647e-16,1.2804695740100698,-1.1058862159352145e-16,-0.25028425510804486,-0.013538419718343821,-1.4224732503009818e-16,3.1051550219984847e-16,-2.0144797146422913,-0.017288900323148275
28,1.0,0.4888737052505881,-0.5344520564374365,0.1612057909657128,-0.017254002543289168,-0.049390249126041945,0.37873223416304896,-1.97758476261356e-16,-0.0392341727447568,0.4216268488255131,-0.007146911962937139,1.465841337200402e-16,-0.4504992390142589,2.2659825404947043e-17,0.5997573744868028,-0.06777524758405415,1.1796119636642288e-16,2.0816681711721685e-16,1.619417186031006,-0.1276203983135114
28,1.0,0.4888737052505881,-0.5344520564374365,0.1612057909657128,-0.017254002543289168,-0.049390249126041945,0.37873223416304896,-1.97758476261356e-16,-0.0392341727447568,0.4216268488255131,-0.007146911962937139,1.465841337200402e-16,-0.4504992390142589,2.2659825404947043e-17,0.5997573744868028,-0.06777524758405415,1.1796119636642288e-16,2.0816681711721685e-16,1.619417186031006,-0.1276203983135114
29,0.0,0.39592549059699067,-3.170884761415053,-0.029537619273436705,0.0345510605765309,-0.04778885147771228,0.004139847746652457,8.118505867571457e-16,0.09236159022713705,0.05173413742784454,-0.015078453085426081,9.020562075079397e-17,0.49161320669494807,-1.5959455978986625e-16,-0.15987679397530186,-0.021330215671095755,-1.8041124150158794e-16,1.6653345369377348e-16,0.06636361362602261,0.06906590399609232
30,0.0,0.5681025882414474,-4.845540138143935,0.027857764189808766,0.027272791999638772,-0.04005080381094895,0.572814621987979,6.548581121812447e-16,0.135438710499902,-0.2503759527290367,0.010161088648118604,-3.478120569333498e-16,-0.09924335454127034,3.903127820947816e-17,0.3145829780027854,0.11518720974973823,-2.8796409701215e-16,-6.938893903907228e-17,-1.0148133657743097,0.005080877000965961
31,1.0,1.2035970457346397,4.8811716283407405,-0.10859899793010346,0.0006432574284051321,-0.006152011244696193,-0.6253585868861529,-8.36136715420821e-16,-0.006413116705138992,0.47726672655823765,-0.002780440538405038,6.938893903907228e-17,-0.4505802011286663,7.806255641895632e-17,0.21490016087239544,-0.13122970150833918,-4.926614671774132e-16,1.1102230246251565e-16,-6.143107513887232,-0.0228047814485004
31,1.0,1.2035970457346397,4.8811716283407405,-0.10859899793010346,0.0006432574284051321,-0.006152011244696193,-0.6253585868861529,-8.36136715420821e-16,-0.006413116705138992,0.47726672655823765,-0.002780440538405038,6.938893903907228e-17,-0.4505802011286663,7.806255641895632e-17,0.21490016087239544,-0.13122970150833918,-4.926614671774132e-16,1.1102230246251565e-16,-6.143107513887232,-0.0228047814485004
