,label,PCA_feature_2,PCA_feature_10,PCA_feature_13,PCA_feature_14,PCA_feature_20,PCA_feature_129,PCA_feature_148,PCA_feature_150,PCA_feature_160,PCA_feature_167
23,0.0,-0.3631990493643875,0.4428900949005126,0.4335938166795049,0.2508084021707179,0.19554366537096177,8.673617379884035e-17,-7.806255641895632e-17,9.8879238130678e-17,6.938893903907228e-18,9.8879238130678e-17
23,1.0,-2.575769421154228,-0.7055354635240138,-0.4305228209236071,0.2430854729195203,-0.08192292643092033,2.3245294578089215e-16,-3.95516952522712e-16,-6.931101200792489e-17,-1.1622647289044608e-16,1.734723475976807e-16
23,1.0,-2.575769421154228,-0.7055354635240138,-0.4305228209236071,0.2430854729195203,-0.08192292643092033,2.3245294578089215e-16,-3.95516952522712e-16,-6.931101200792489e-17,-1.1622647289044608e-16,1.734723475976807e-16
24,1.0,-2.6431139649717244,-0.5798295002339665,-0.4386123961494392,0.03041641601148068,-0.13024089082677137,-7.28583859910259e-17,-2.8622937353617317e-16,3.642919299551295e-17,-6.245004513516506e-17,2.7755575615628914e-16
24,0.0,4.512703036674612,0.010151144860613318,-0.2251107749437938,-0.14291585264761003,0.19944583437955654,8.500145032286355e-17,-1.3877787807814457e-16,9.974659986866641e-17,5.551115123125783e-17,-1.5265566588595902e-16
24,1.0,-2.643113964971724,-0.5798295002339666,-0.4386123961494392,0.03041641601148068,-0.1302408908267716,3.469446951953614e-18,-2.185751579730777e-16,2.5153490401663703e-17,-1.0061396160665481e-16,2.7755575615628914e-16
25,0.0,0.3318777704552622,0.13679150938943466,-0.3181151820837622,-0.418629002361994,0.2853696893011687,-1.8735013540549517e-16,1.249000902703301e-16,2.7755575615628914e-16,1.713039432527097e-16,-1.0755285551056204e-16
27,1.0,-2.3786835997246696,-0.03169818369671013,-0.2725928088563029,-0.8697352504411551,-0.7077708753833144,1.8323016715005025e-16,2.255140518769849e-16,2.1196152472091612e-16,-9.020562075079397e-17,-2.393918396847994e-16
27,1.0,-2.3786835997246696,-0.03169818369671013,-0.2725928088563029,-0.8697352504411551,-0.7077708753833144,1.8323016715005025e-16,2.255140518769849e-16,2.1196152472091612e-16,-9.020562075079397e-17,-2.393918396847994e-16
27,0.0,2.408488163976055,0.6134900915827254,0.1818697222389149,1.1445211723245934,-0.08791154884460864,-1.0408340855860843e-16,7.846913223363838e-17,2.480654570646834e-16,-1.717376241217039e-16,1.5612511283791264e-17
28,1.0,-1.5002218144058395,-0.24884144496736438,-0.32255475740810235,0.15572785442493353,-0.4938871254481434,-9.627715291671279e-17,2.8796409701215e-16,-4.85722573273506e-17,1.7954387976359953e-16,-1.734723475976807e-18
