,label,PCA_feature_11,PCA_feature_3,PCA_feature_28,PCA_feature_124,PCA_feature_122,PCA_feature_15,PCA_feature_134
27,1.0,0.36066612306529533,0.06985673468634784,0.1677074134320415,-0.013475920012412893,0.03024365588496703,-0.31753109444185024,-2.5825695748604716e-16
28,1.0,0.4888737052505881,-0.5344520564374365,0.1612057909657128,-0.017254002543289168,-0.049390249126041945,0.37873223416304896,-1.97758476261356e-16
28,0.0,-0.8696716083528713,-2.294917467513718,0.5358182750487985,0.005427178511893614,-0.005195948935184576,0.19182321594731613,5.572799166575493e-17
29,0.0,0.39592549059699067,-3.170884761415053,-0.029537619273436705,0.0345510605765309,-0.04778885147771228,0.004139847746652457,8.118505867571457e-16
30,0.0,0.5681025882414474,-4.845540138143935,0.027857764189808766,0.027272791999638772,-0.04005080381094895,0.572814621987979,6.548581121812447e-16
31,0.0,0.9864460241787942,-2.301349879680759,-0.12744655950715694,0.003980074054515753,-0.005143208451255989,0.8694941005722362,2.706168622523819e-16
31,1.0,1.2035970457346394,4.8811716283407405,-0.10859899793010346,0.0006432574284051668,-0.006152011244696068,-0.6253585868861531,-8.118505867571457e-16
32,1.0,-0.48179933857830626,0.5920672688582355,0.11734296331483257,-0.056549823991296815,0.010596074604299247,-0.5778819902470913,0.0
32,0.0,0.977762746127883,2.0522043489551107,-0.7073541225052589,-0.04063029588270302,0.013546665396641377,0.5292242675777649,-4.909267437014364e-16
33,0.0,0.8563640335104192,-3.9336006862494535,-0.4517514061341133,-0.027003172156769034,-0.04605276457287384,0.0357028608375228,5.93275428784068e-16
34,1.0,0.10854255020207393,-0.5244662103463618,-0.22941140941131827,-0.03428888683349455,-0.0004880597455200822,-0.5712731679411637,-7.112366251504909e-17
35,1.0,-1.2329361250853101,1.1771832690969786,0.7771444014488419,0.0414222540821845,-0.005748988329138654,0.13045071279916767,-5.377642775528102e-16
35,0.0,0.2373475925666445,-2.1240522044026093,0.5005116677989438,-0.010950527775393959,-0.036971900919010085,0.6405836112200947,2.0556473190325164e-16
36,1.0,-0.561463416287631,0.2963586242234454,0.37662110759453626,0.0309209978108363,0.011787254234764472,0.07984658057923867,-3.677613769070831e-16
36,0.0,-0.5721438603713098,-2.226744201560343,0.019361078662554265,-0.01541206647004623,0.022403392180615586,0.2925764216744503,3.2612801348363973e-16
37,0.0,0.5391237389245747,-5.869274237288751,0.3539514593449156,-0.0063707786840182384,0.06195081768850147,0.26547838467889817,3.174543961037557e-16
37,1.0,-1.7980630223482523,3.134133843174123,-0.3375216206596222,-0.0008746181230012556,-0.009512185740403564,0.7803094715563941,-4.579669976578771e-16
38,0.0,0.1948056141702222,-4.770297072198677,0.13698700153913385,0.02502437993644621,-0.02144683904434168,0.6589108544462016,7.134050294954619e-16
39,0.0,-0.06752057403718331,-3.3793720118218773,-0.0696922708800491,0.016939609857014485,0.00564022423504696,0.4999007193648317,4.0592529337857286e-16
39,1.0,-1.2923798579082157,1.3494934852343021,0.025283819216626136,0.02494428094395277,0.049610348731202236,0.553497164523166,-3.0010716134398763e-16
40,0.0,-0.04723428722681401,-4.189767549731806,-0.3523624497909519,0.02196422367687646,-0.017877117761276595,-0.09208271217440982,2.6020852139652106e-17
40,1.0,-1.0513872414457086,0.41070330660141535,0.3117993554179679,-0.030199539239396167,-0.04112199977299374,-0.060137831747633756,-2.6020852139652106e-16
42,0.0,0.03659142403984818,-0.25786651232885627,-0.2931750757183762,-0.13194962284501816,-0.1126309150215849,0.021496969347401147,-4.0939474033052647e-16
42,1.0,-1.2491771127396203,1.0973383451853287,0.09320548135449945,-0.10906142519823822,-0.045741062124164615,0.3424666671177166,-8.673617379884035e-18
43,1.0,1.6192885607162701,4.888280302259437,-0.5062040991112498,0.006686197055461231,-0.022878435777956688,1.537582039956217,-4.510281037539698e-16
43,0.0,0.817069187173554,-3.019982160673699,0.09466772479698687,-0.08668275058560651,-0.016614738114029522,0.49037989767433543,-5.551115123125783e-17
44,1.0,0.5214082421852402,-0.11886074070828034,-0.3377371916782896,0.01046264370504122,0.009413484944856984,-1.0644668167323776,-1.5959455978986625e-16
45,1.0,-0.4568607724989694,3.7306562849714417,-0.027775883411561342,-0.019252006126687093,0.17231630498702113,-0.2878920739348938,-7.251144129583054e-16
45,0.0,-0.9469625419891532,-3.7850174250861555,-0.0679101784708998,0.0023997009689142174,-0.02030761715153685,0.08403310011354981,2.194425197110661e-16
46,0.0,0.3507795185538884,-1.9732903808378064,0.4878789865775501,0.08935470185328132,0.014972652763603461,-0.1026287866654168,-1.2836953722228372e-16
46,1.0,-0.5551988274617671,1.1588416586899344,0.18068439353343985,0.07220545501421338,-0.13311948062768356,-0.5994512449800213,2.0816681711721685e-17
47,1.0,0.08548964692814343,2.919337635939918,-0.057693117240686154,-0.03161203164809841,-0.008270740588651383,0.7199384630338457,-2.3245294578089215e-16
48,1.0,-0.39318468427732445,-0.83093877010341,0.11944006786373457,0.0553017569143832,-0.05193678792101304,0.023585818842763423,-8.326672684688674e-17
48,0.0,-0.7376875436987553,-2.4636054481524607,0.3593780189511672,-0.013518333142138031,-0.04508336780126904,-0.7985238489435375,-4.926614671774132e-16
49,1.0,-0.49522652969280057,0.9392620658263623,0.728048719275505,0.07527279371290668,-0.07917461856251132,-0.29096089432189554,-3.2439329000766293e-16
49,0.0,0.22267137753010896,4.959940105055295,0.09982811578503753,0.000869236120062844,0.004272794241171489,-0.4505656945211242,3.5041414214731503e-16
51,1.0,0.051400949541337934,0.5013562898458179,-0.2221224017582577,0.05976817841395017,0.09642236368087638,0.1912468041156158,-7.979727989493313e-17
51,0.0,1.7497166826886694,-2.430627572471841,0.9403008058512913,-0.004386704902347854,0.007572535947004305,0.2894475696455383,2.3418766925686896e-16
52,1.0,0.43240398099977484,2.815369036504693,-0.7830597591891306,-0.01296977075566998,0.03198959283574943,0.5760351002242495,-5.412337245047638e-16
52,0.0,0.6919601667573725,-2.0452593868998914,0.05799657503828318,-0.005843573054028203,-0.019930227130304706,0.48620694210729626,2.3418766925686896e-16
