,label,PCA_feature_112,PCA_feature_114,PCA_feature_14,PCA_feature_107,PCA_feature_110,PCA_feature_7,PCA_feature_132,PCA_feature_13,PCA_feature_108,PCA_feature_89,PCA_feature_16
17,1.0,-0.18465483590321552,-0.008880727583287864,0.4397709063728723,-0.0038703683473867226,0.015859968050093928,-0.30179822393060907,-1.700029006457271e-16,0.5469624026601853,0.052708083659617,-0.004767952631059419,-0.3181188243637705
17,0.0,0.03767569582729395,-0.04271611855663124,-0.893996606869264,-0.028776427703435276,0.07580099951473544,-1.1701146600175685,-2.393918396847994e-16,0.6912924486053481,-0.010078792677232412,0.16914040973119832,-0.5541694729338245
18,1.0,-0.007024839087425537,0.002533793095611199,-0.062028913724108896,0.013749291540836053,-0.025572565822083483,-0.2583009149978123,-1.0755285551056204e-16,-0.4218714253889344,-0.10479411440119912,0.0327673176975143,-0.5509097616362273
18,0.0,0.01703671392753743,-0.021564909183810446,0.1453844882634767,-0.011675072265409826,-0.035784431135427286,0.022562114951258053,4.40619762898109e-16,1.1505332972177849,-0.0061295246440693785,0.027988988482764664,-0.8321923901783782
19,1.0,-0.031320496086569186,-0.019305888298372847,0.15156333754167356,-0.02276241103231995,0.01322692960397235,0.578278935818621,1.0234868508263162e-16,-0.05616356070228241,-0.01569996897361481,0.014084296165420077,0.1670295811888063
19,0.0,0.011295076366205227,-0.08122182600563624,1.1166585988733837,-0.005753813332114187,0.02405257984141055,-0.73587263177874,3.400058012914542e-16,0.4514658674472935,0.09605493836053738,0.07952742812637509,-0.24284760817549395
20,0.0,-0.02264189788922434,-0.05278035186230062,0.9447267777192374,-0.02208754466091807,-0.003957740339481389,-0.7747728775903964,9.8879238130678e-17,-0.32731336216093093,-0.0259883591985494,-0.006634297951840146,-0.7868667552817818
20,1.0,-0.010239378234675384,-0.018444724308044953,0.058881795293742795,-0.047704064574060484,0.01981350695384345,0.6260570682406106,1.6403978869705682e-16,-0.4849653902837925,-0.010939546527677698,0.012781749917859901,0.3019694850718221
21,0.0,0.010009661726431524,-0.0021393066866651975,0.5842610531410523,-0.03835834475249282,0.018445340170242824,-1.1790277959758728,2.3592239273284576e-16,-0.18174033141447402,-0.02665791505418145,-0.0874365785103029,-0.37675036110414883
21,1.0,-0.013198758610716125,0.015371020153930728,-1.0956840385236188,0.011653944175616715,0.00957268185112637,-0.32733483581580614,1.3335686721571705e-16,1.00344418033113,0.0006748274904461171,-0.06902424164424054,-0.5225321525407173
22,0.0,-7.919261461400429e-05,-0.007581461268526687,0.27623182984816314,-0.006238665549825495,-0.00017353325462585807,3.4694700753449257,8.448103328007051e-16,-0.3511761513312318,-0.003305979580750351,0.04816496332057435,-0.7503811560271108
22,1.0,0.05687544768409722,0.06415242726897183,0.17806520582675378,-0.0421336910732034,0.11649262438831329,0.8668734486254503,1.739060284666749e-16,-0.3116541910798907,0.007086145311437891,-0.0006052207928514894,0.08795009309239729
23,1.0,-0.025821174290078436,0.025414847577680984,0.2430854729195203,-0.039671130939408925,-0.03644392093508252,-0.10819997696537034,2.194425197110661e-16,-0.4305228209236071,-0.027519259865863628,-0.0891213811904564,0.013067363072775923
23,0.0,-0.006279535707395084,0.1779926498429643,0.2508084021707179,0.04358975227872231,0.15747585237363657,0.8376514849075073,2.203098814490545e-16,0.4335938166795049,0.14479375047554305,-0.18404042312184618,0.10994272448961562
